,symbol,open,high,low,close,last,prevclose,tottrdqty_lakhs,tottrdval_lakhs,timestamp,totaltrades,deliverypercent,deliveryvalue_lakhs,week,month,year,5days_vwap,sma_20_close,sma_50_close,sma_124_close,sma_150_close,sma_200_close,sma_9_high,ema_5_close,ema_15_close,ema_20_close,ema_50_high,ema_50_low,Bearish_crossover,Bullish_crossover,Triveni_Sangam,DMA_Convergence,Close_Below_MonthlyBB,Close_Above_MonthlyBB,Close_Below_WeeklyBB,Close_Above_WeeklyBB,ATFEMA_15C_Above_50H_and_50L,ATFEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Below_50H_and_50L,WeeklyEMA_15C_Below_50H_and_50L,DailyEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Above_50H_and_50L,WeeklyEMA_15C_Above_50H_and_50L,DailyEMA_15C_Above_50H_and_50L,MonthlyEMA_5C_Above_20C,WeeklyEMA_5C_Above_20C,DailyEMA_5C_Above_20C
26,ACC,1487.45,1496.95,1474.5,1486.95,1488.5,1485.5,1.526,2267.61,2017-02-10,9097,22.88,519.0,6.0,2.0,2017.0,1777.3668929445114,1406.1025000000004,,,,,1479.9833333333331,1476.6850581010008,1436.5742309289235,1415.1000585316506,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
27,ACC,1492.0,1502.3,1462.1,1487.55,1485.25,1486.95,2.326,3452.86,2017-02-13,11408,22.09,763.0,7.0,2.0,2017.0,1788.6458247880648,1414.0050000000003,,,,,1487.472222222222,1480.3067054006672,1442.946202062808,1422.0000529572076,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
28,ACC,1485.0,1487.0,1461.9,1465.55,1462.35,1487.55,2.292,3367.61,2017-02-14,17894,52.92,1782.0,7.0,2.0,2017.0,1792.008187419735,1420.7325000000003,,,,,1488.6777777777777,1475.3878036004448,1445.771676804957,1426.147666961283,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
29,ACC,1466.2,1477.1,1435.1,1442.9,1442.0,1465.55,2.662,3880.29,2017-02-15,17403,38.05,1476.0,7.0,2.0,2017.0,1788.812914146843,1426.4325000000003,,,,,1489.4666666666665,1464.55853573363,1445.4127172043375,1427.7431272506847,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
30,ACC,1447.7,1459.6,1435.35,1455.85,1458.0,1442.9,1.663,2413.74,2017-02-16,16444,32.35,781.0,7.0,2.0,2017.0,1786.6220502226142,1431.7400000000002,,,,,1491.7166666666665,1461.6556904890865,1446.7173775537954,1430.419972274429,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
31,ACC,1460.0,1474.6,1452.1,1465.7,1462.5,1455.85,1.377,2013.94,2017-02-17,7901,24.54,494.0,7.0,2.0,2017.0,1790.7711576899078,1436.9725000000003,,,,,1488.5888888888887,1463.003793659391,1449.090205359571,1433.7799749149597,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
32,ACC,1467.3,1477.9,1455.55,1460.65,1455.55,1465.7,1.519,2227.42,2017-02-20,9325,41.22,918.0,8.0,2.0,2017.0,1790.7957308688146,1443.6825000000003,,,,,1487.9444444444443,1462.2191957729274,1450.5351796896246,1436.3390249230588,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,ACC,1452.5,1474.5,1448.2,1467.45,1468.7,1460.65,2.188,3202.0,2017-02-21,13261,27.82,891.0,8.0,2.0,2017.0,1796.5171306099185,1450.3200000000002,,,,,1484.6666666666665,1463.9627971819516,1452.6495322284215,1439.3019749303865,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,ACC,1470.0,1477.0,1443.4,1447.6,1444.1,1467.45,2.373,3471.33,2017-02-22,14220,30.87,1072.0,8.0,2.0,2017.0,1799.2816746102417,1454.7700000000002,,,,,1480.7722222222221,1458.5085314546343,1452.0183406998688,1440.0922630322543,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
35,ACC,1448.9,1453.9,1427.95,1438.1,1436.25,1447.6,3.836,5525.92,2017-02-23,14109,53.52,2957.0,8.0,2.0,2017.0,1805.9963349088075,1456.7050000000002,,,,,1475.9888888888886,1451.705687636423,1450.2785481123851,1439.9025236958491,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36,ACC,1443.45,1443.45,1410.8,1417.5,1415.0,1438.1,2.419,3431.17,2017-02-27,10262,54.71,1877.0,9.0,2.0,2017.0,1800.553162131471,1456.0475000000001,,,,,1469.4499999999998,1440.3037917576153,1446.181229598337,1437.7689500105303,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37,ACC,1422.65,1423.95,1402.7,1411.5,1409.0,1417.5,5.54,7814.16,2017-02-28,19285,66.93,5230.0,9.0,2.0,2017.0,1796.5357299755428,1455.2024999999999,,,,,1462.4444444444443,1430.70252783841,1441.846075898545,1435.2671452476227,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,ACC,1416.0,1422.0,1406.45,1408.95,1409.0,1411.5,3.382,4781.49,2017-03-01,12333,55.86,2671.0,9.0,3.0,2017.0,1795.5702270962681,1454.975,,,,,1456.322222222222,1423.4516852256068,1437.7340664112269,1432.7607504621349,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,ACC,1417.65,1438.85,1401.65,1407.85,1404.8,1408.95,4.125,5871.0,2017-03-02,14078,35.74,2098.0,9.0,3.0,2017.0,1793.8602180002438,1451.94,,,,,1454.0166666666667,1418.2511234837377,1433.9985581098235,1430.3882980371695,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,ACC,1405.0,1416.9,1390.9,1393.7,1392.95,1407.85,2.39,3346.27,2017-03-03,11562,35.73,1196.0,9.0,3.0,2017.0,1788.594030165866,1450.0325,,,,,1447.6055555555554,1410.0674156558252,1428.9612383460956,1426.894174414582,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,ACC,1398.0,1407.4,1388.55,1393.45,1394.8,1393.7,1.51,2108.14,2017-03-06,8289,33.53,707.0,10.0,3.0,2017.0,1790.0030950929813,1448.51,,,,,1439.7722222222221,1404.5282771038835,1424.5223335528335,1423.7090149465266,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,ACC,1395.0,1395.0,1383.0,1387.35,1385.5,1393.45,2.9,4025.42,2017-03-07,8965,65.94,2654.0,10.0,3.0,2017.0,1800.7744785758139,1443.87,,,,,1430.9388888888889,1398.8021847359223,1419.8757918587294,1420.246251618286,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,ACC,1391.65,1409.0,1386.3,1397.95,1388.1,1387.35,6.37,8916.72,2017-03-08,26841,49.32,4398.0,10.0,3.0,2017.0,1819.8308203003476,1440.9575,,,,,1423.3833333333332,1398.5181231572815,1417.1350678763881,1418.122799083211,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,ACC,1387.45,1424.4,1386.7,1401.95,1400.15,1397.95,5.838,8227.38,2017-03-09,15784,25.8,2123.0,10.0,3.0,2017.0,1831.2236824660197,1436.2,,,,,1420.1055555555554,1399.6620821048543,1415.2369343918397,1416.5825325038577,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,ACC,1407.0,1415.0,1395.95,1400.0,1397.0,1401.95,2.792,3927.12,2017-03-10,8566,40.14,1576.0,10.0,3.0,2017.0,1835.0356726401521,1431.925,,,,,1416.9444444444443,1399.7747214032363,1413.3323175928597,1415.0032436939664,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
